Disease,Hindi Name,Marathi Name,Symptoms,Diagnosis & Tests,Symptom Severity,Duration of Treatment,Medical History,Current Medications,Risk Factors,Environmental Factors,Sleep Patterns,Stress Levels,Physical Activity Levels,Family History,Dietary Habits,Allergies (Food/Env),Seasonal Variation,Age Group,Gender,Occupation and Lifestyle,Cultural Preferences,Herbal/Alternative Remedies,Ayurvedic Herbs,Formulation,Doshas,Constitution/Prakriti,Diet and Lifestyle Recommendations,Yoga & Physical Therapy,Medical Intervention,Prevention,Prognosis,Complications,Patient Recommendations
Obesity,मोटापा,"स्थूलता ,लठ्ठपणा","Weight gain, lethargy","BMI, Blood tests, Waist-to-hip ratio",Moderate to Severe,"Variable, long-term","Diabetes, Hypertension",Weight loss medications,"Overeating, Sedentary lifestyle","Overeating, Sedentary lifestyle",Irregular Sleep,High Stress,Low to Moderate,Family History of Obesity,"High-calorie, Low-nutrient",None,All seasons,30-50 years,Both genders,Sedentary lifestyle,"Low-fat, low-sugar preference","Green tea, Garcinia Cambogia","Guggul, Triphala","Guggulu (500mg), Warm water (200ml)",Kapha,Kapha,"Avoid heavy and oily foods; focus on exercise; eat light dinners.","Surya Namaskar, Walking",Weight loss medications,"Exercise, Diet control","Chronic, manageable","Heart disease, Diabetes","Exercise, balanced diet"
Skin Allergy,त्वचा एलर्जी,त्वचा एलर्जी,"Itchy rash, redness","Skin tests, Blood tests",Moderate to Severe,1-2 weeks,"Asthma, Eczema, Hay fever","Antihistamines, Topical creams","Allergies, Genetics","Dust, Pollen, Chemicals",Poor Sleep,High Stress,Low,Family History of Allergies,"High-protein, Low-dairy","Dust, Pollen","Winter, Spring",All ages,Both genders,Exposure to allergens,Avoids scented products,"Aloe Vera, Chamomile","Neem, Tulsi","Aloe vera gel (fresh, 2 tsp)",Pitta,Pitta,"Avoid allergens; wear loose clothing; consume cooling foods.","Anulom Vilom, Pranayama","Antihistamines, Steroids",Avoid allergens,Usually mild,"Eczema, Rash","Avoid triggers, moisturize"
Anxiety,चिंता,चिंता,"Excessive worry, restlessness","Psychological evaluation, Blood tests",Moderate to Severe,2-4 weeks,"Stress, Trauma, Depression","Antidepressants, Benzodiazepines","Stress, Trauma, Family history","Overwork, Personal issues",Poor Sleep,High Stress,Low to Moderate,Family History of Anxiety,"Balanced diet, Low caffeine",None,All seasons,20-40 years,Mostly Female,High-stress job,Favors holistic practices,"Lavender oil, Ashwagandha","Brahmi, Ashwagandha","Ashwagandha (1 tsp), Tulsi (5 leaves)","Vata, Pitta",Vata-Pitta,"Practice yoga; avoid stimulants; focus on mindfulness.","Meditation, Deep Breathing","Antidepressants, CBT","Stress management, Exercise",Chronic,"Depression, Panic attacks","Relaxation, therapy"
Fever,बुखार,ताप,"High temperature, body aches","Physical exam, Blood tests",Mild to Severe,3-5 days,"Viral infections, Infections","Antipyretics, Fluids","Infection, Immune weakness","Infections, Viral outbreaks",Irregular Sleep,Moderate Stress,Low,Family History of Fever,Balanced diet,None,"Winter, Monsoon",All ages,Both genders,"Sedentary, Dependent on season",Avoids cold foods,"Ginger, Honey","Tulsi, Ginger","Coriander seeds (1 tsp), Ginger (1g)","Pitta, Kapha",Pitta,"Rest; stay hydrated; consume light, warm meals.","Surya Namaskar, Pranayama","Antipyretics, Fluids","Rest, Hydration",Usually mild,"Sepsis, Organ failure","Hydration, rest"
Acidity,अम्लपित्त,आम्लपित्त,"Heartburn, sour taste, nausea","Endoscopy, pH monitoring",Mild to Moderate,1-3 days,"Poor diet, Stress, Spicy foods","Antacids, Proton pump inhibitors","Spicy foods, Alcohol","Overeating, Stress, Spicy foods",Poor Sleep,High Stress,Low,Family history of Acid reflux,"Spicy, Oily foods","Dairy, Caffeine",All seasons,All ages,Both genders,"Office job, High stress",Avoids spicy foods,"Ginger, Fennel","Amla, Ajwain","Aloe vera (10ml), Water (200ml)",Pitta,Pitta-Prakriti,"Avoid spicy foods; eat cooling foods like cucumber.","Yogasanas, Pranayama","Antacids, PPIs","Avoid spicy foods, smaller meals",Usually mild,"GERD, Esophagitis",Eat smaller meals
Acne,मुँहासे,पिंपल्स,"Pimples, blackheads, oily skin","Skin exam, Hormonal tests, Blood tests",Mild to Moderate,2-4 weeks,"Hormonal imbalance, Poor hygiene","Topical creams, Antibiotics","Hormones, Stress, Diet","Pollution, Oily skin",Irregular Sleep,High Stress,Moderate,Family history of Acne,"Oily, High-sugar diet","Dairy, Chocolate",All seasons,"Teenagers, 20s",Both genders,"Active, College/Teen lifestyle",Avoids greasy foods,"Tea tree oil, Aloe Vera","Neem, Turmeric","Neem leaves (5g), Water (10ml)",Pitta,Pitta-Prakriti,"Avoid fried foods; include turmeric and green vegetables.","Anulom Vilom, Kapalbhati","Topical treatments, Antibiotics","Clean skin, avoid triggers",Usually mild,"Scarring, Skin infections","Healthy diet, proper skincare"
Allergies,एलर्जी,एलर्जी,"Sneezing, itching, rashes","Skin Test, Blood Test",Moderate to Severe,"Varies, depends on allergen","Asthma, Eczema, Hay fever, Pollen exposure","Antihistamines, Topical creams","Family History, Environmental Allergens","Dust, Pollen, Chemicals, Pollution",Poor Sleep,High Stress,Low,Family History of Allergies,"High-protein, Low-dairy","Dust, Pollen","Winter, Spring",All ages,Both genders,Exposure to allergens,Avoids scented products,"Local Honey, Echinacea","Brahmi, Ashwagandha","Tulsi leaves (5g), Warm water (200ml)","Vata, Kapha",Vata-Kapha,"Avoid cold foods; include herbal teas in the diet.","Pranayama, Breathing Exercises","Antihistamines, Steroids","Avoid Triggers, Air Filters",Can be Managed with Treatment,"Anaphylaxis, Asthma",Avoid Allergen Exposure
Alopecia,गंजापन,गंजेपण,"Hair loss, thinning of scalp","Scalp Biopsy, Blood Tests",Moderate to Severe,Varies,"Genetic, Autoimmune conditions","Topical treatments, Steroid creams","Genetics, Hormonal Imbalance","Genetic, Stress",Irregular Sleep,High Stress,Low,Family history of hair loss,"Balanced diet, High-protein",None,All seasons,20-50 years,Both genders,Stressful lifestyle,Avoids chemical treatments,"Ginseng, Fenugreek","Bhringraj, Amla",Bhringraj oil (as needed),Pitta,Pitta-Prakriti,"Avoid spicy foods; massage scalp regularly with herbal oils.","Gentle Yoga, Head Massage","Topical Steroids, Minoxidil",Healthy Diet,Can be Reversed with Treatment,"Scarring, Hair Thinning",Regular Scalp Massage
Alzheimer's Disease,अल्जाइमर रोग,अल्झायमर रोग,"Memory loss, confusion, difficulty thinking","Cognitive Tests, MRI, PET Scan",Severe,"Progressive, Lifelong","Family history of dementia, Age-related",Acetylcholinesterase inhibitors,"Age, Genetics, Family History","Genetic predisposition, Aging",Poor Sleep,High Stress,Low,Family History of Dementia,"Low-fat, High-antioxidant",None,All seasons,60+ years,Both genders,"Sedentary lifestyle, Aging",Avoids processed foods,"Ginkgo Biloba, Turmeric","Brahmi, Ashwagandha","Brahmi (3g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,"Include brain-boosting herbs like Brahmi; engage in memory exercises.","Meditation, Memory Exercises","Cholinesterase Inhibitors, Memantine","Mental Stimulation, Diet","Progressive, Declines Over Time","Memory Loss, Dementia",Cognitive Exercises
Amebiasis,एमेबायसिस,एमेबायसिस,"Abdominal pain, diarrhea, fever","Stool Test, Blood Test",Moderate to Severe,"Varies, depending on severity","Travel to endemic areas, Poor sanitation",Antiprotozoal drugs,"Contaminated Water, Poor Sanitation","Poor sanitation, Contaminated water",Irregular Sleep,Moderate Stress,Low,Family history of infections,"Low-fat, High-carb diet",None,"Monsoon, Summer",All ages,Both genders,Travel to endemic areas,Avoids raw food,"Papaya Seeds, Garlic","Kutki, Triphala","Pomegranate rind (5g), Warm water (200ml)","Pitta, Kapha",Pitta-Kapha,"Avoid raw foods; consume easily digestible meals.",Yoga for Digestion,Antiprotozoal Drugs,Safe Drinking Water,Treatable with Medication,"Dehydration, Liver Abscess",Good Hygiene Practices
